MQ135,MQ136,MQ137,MQ138,MQ2,MQ3,MQ4,MQ5,MQ6,MQ8,MQ9,Label
83,27,183,64,59,105,22,192,110,111,153,3
87,27,183,65,59,106,22,182,110,109,175,3
84,28,183,67,60,107,23,186,111,122,172,3
88,28,184,68,60,108,23,185,111,122,177,3
96,26,180,63,57,105,21,183,110,116,169,3
93,26,182,63,57,106,22,183,110,118,163,3
81,26,180,61,56,104,21,184,109,102,166,3
79,26,180,61,55,105,21,177,109,95,152,3
81,26,180,62,56,106,21,183,109,107,161,3
84,27,184,65,58,110,22,185,110,111,174,3
81,27,182,66,57,107,21,186,109,116,156,3
62,23,173,52,47,95,17,179,104,91,140,3
82,27,182,66,57,108,22,182,109,116,172,3
69,26,177,62,50,100,19,176,106,113,147,3
86,28,182,71,59,109,22,183,110,150,161,3
86,28,182,71,59,110,22,186,110,116,164,3
83,27,179,70,58,107,22,184,107,114,170,3
82,27,180,68,57,108,21,184,109,114,166,3
86,27,184,71,59,111,22,183,111,124,160,3
84,27,184,71,59,112,22,186,110,113,164,3
84,28,184,72,59,112,22,187,111,129,160,3
86,28,185,73,60,112,22,186,111,122,169,3
82,27,182,70,58,111,21,185,110,126,156,3
83,28,184,72,60,112,22,192,110,116,163,3
81,27,183,72,59,111,22,184,110,114,163,3
81,27,184,72,58,110,21,184,110,99,156,3
86,28,187,75,61,113,22,188,110,116,160,3
83,28,187,75,60,113,22,191,110,127,170,3
83,27,186,73,60,112,21,186,109,109,170,3
75,27,186,73,59,111,21,187,109,111,164,3
73,27,186,71,58,111,21,187,109,113,152,3
73,27,185,71,58,110,21,185,109,104,158,3
78,28,188,76,60,114,22,193,110,122,166,3
79,28,189,77,61,115,22,196,110,102,161,3
81,28,187,77,61,116,22,193,111,124,163,3
79,28,187,76,61,115,22,198,110,127,172,3
81,28,188,79,61,116,22,196,111,113,167,3
81,28,188,77,59,116,22,197,110,116,156,3
81,29,189,77,62,116,22,197,110,114,175,3
81,28,188,78,62,116,22,196,110,114,174,3
81,28,188,77,61,116,22,197,110,116,160,3
81,28,188,80,61,116,22,197,110,111,164,3
79,28,188,79,61,116,22,198,110,116,172,3
81,28,188,81,62,116,22,196,110,116,167,3
79,28,188,77,61,116,22,197,110,116,170,3
81,28,188,81,62,116,22,197,110,116,174,3
79,28,188,79,62,116,22,198,110,114,175,3
79,28,187,82,62,116,22,198,110,126,172,3
79,28,188,78,62,116,22,200,110,109,175,3
79,28,188,79,62,116,22,202,110,111,161,3
79,28,189,77,61,116,22,200,110,109,153,3
79,28,188,78,61,116,22,202,110,120,172,3
79,28,188,77,61,116,22,247,110,113,164,3
77,28,187,76,59,114,21,200,109,114,164,3
78,28,188,77,60,116,21,200,109,116,164,3
77,28,188,77,60,115,21,199,109,113,170,3
76,28,187,76,59,115,21,197,109,107,155,3
77,28,187,77,59,115,21,198,109,107,170,3
71,27,185,73,57,112,20,194,108,102,152,3
65,25,182,67,52,106,18,188,106,97,152,3
61,24,180,65,50,105,17,184,104,106,150,3
63,25,180,66,51,106,18,187,105,87,152,3
59,24,179,63,49,104,17,183,104,91,137,3
59,24,177,62,49,104,16,183,103,87,146,3
61,24,180,63,49,105,17,186,103,87,138,3
58,23,179,62,48,104,16,186,103,68,146,3
55,23,176,61,47,101,15,183,102,77,141,3
55,23,176,59,47,102,15,186,102,89,138,3
56,23,176,61,48,103,16,196,103,86,137,3
49,22,174,59,44,98,14,179,101,71,135,3
54,23,175,62,47,103,15,190,102,80,127,3
64,25,180,70,51,108,17,191,104,94,147,3
63,25,182,70,51,107,17,188,104,94,143,3
52,22,175,61,45,99,15,183,102,80,128,3
56,23,179,65,47,103,16,187,103,84,132,3
64,25,184,71,53,107,18,196,105,100,135,3
71,27,186,76,56,112,19,199,107,83,149,3
69,26,185,76,54,110,19,196,106,99,149,3
71,27,185,77,56,110,19,194,106,99,147,3
70,27,186,76,55,110,19,196,106,99,149,3
71,27,187,77,55,111,19,198,107,100,141,3
53,23,179,63,47,99,15,192,102,95,127,3
56,23,180,64,46,101,15,207,102,81,129,3
59,24,182,66,47,103,16,192,102,84,131,3
55,22,177,59,43,97,14,187,100,74,125,3
50,21,177,58,44,97,14,187,100,86,118,3
48,21,179,61,44,97,14,190,100,68,111,3
50,22,180,63,45,98,14,204,100,80,118,3
52,23,182,65,46,101,15,200,101,81,128,3
50,22,180,63,46,99,14,192,101,87,127,3
53,23,182,66,35,101,15,194,101,74,125,3
35,19,171,49,26,88,11,178,96,53,105,3
49,22,183,63,35,99,14,191,100,72,121,3
56,23,187,69,39,104,16,193,102,83,132,3
58,24,185,70,36,104,16,206,101,83,135,3
55,23,186,69,36,103,16,193,102,81,134,3
52,23,185,66,37,101,15,196,101,77,121,3
52,22,182,64,35,99,14,191,101,71,127,3
52,22,184,66,35,100,15,191,101,71,125,3
66,25,190,75,39,108,18,204,103,86,144,3
50,23,183,65,33,99,15,191,100,74,125,3
55,23,185,67,34,102,15,196,101,77,131,3
52,23,183,67,33,100,15,221,101,75,121,3
71,27,195,81,43,113,19,204,106,95,153,3
62,25,188,74,39,106,17,198,103,86,144,3
63,25,189,76,39,107,17,198,103,87,141,3
64,25,190,76,39,107,17,199,104,87,140,3
61,25,188,73,40,106,17,209,103,86,135,3
63,25,189,74,42,106,17,200,103,87,141,3
63,25,189,76,42,107,17,213,103,91,141,3
63,25,190,76,49,107,17,215,103,92,140,3
65,26,192,76,52,108,18,213,104,89,138,3
65,26,190,77,53,108,18,216,104,94,144,3
57,24,187,71,49,104,16,211,102,94,124,3
50,23,184,65,46,98,14,206,100,81,123,3
52,23,186,66,47,100,15,208,101,81,129,3
48,22,184,63,44,97,14,206,100,78,123,3
63,25,192,76,53,108,17,228,104,87,127,3
58,24,189,71,50,105,16,212,102,86,117,3
64,25,192,76,53,108,17,215,103,89,127,3
70,24,190,73,51,105,16,213,103,92,132,3
63,25,191,75,53,106,17,247,103,97,125,3
63,25,190,75,53,106,17,208,101,92,125,3
35,19,175,51,37,88,10,197,96,64,90,3
64,25,192,75,54,108,17,220,104,87,138,3
35,19,175,52,37,85,10,200,95,70,98,3
61,24,189,72,52,105,16,213,102,86,134,3
64,25,192,76,52,107,17,220,104,91,134,3
61,24,189,72,48,104,16,213,102,84,132,3
64,25,188,76,53,106,17,254,103,81,129,3
55,23,184,69,46,101,15,209,101,83,118,3
62,24,188,74,49,106,16,213,102,94,118,3
63,24,189,74,53,106,17,213,103,89,132,3
64,25,189,76,53,106,17,215,103,94,135,3
64,25,190,76,51,106,17,219,104,81,128,3
67,25,191,77,54,108,17,217,104,92,132,3
66,25,192,76,53,107,17,217,104,92,132,3
57,23,187,69,49,102,15,217,102,106,107,3
62,24,189,71,56,105,16,217,103,95,128,3
42,20,176,58,16,91,12,200,97,71,98,3
64,25,190,75,51,106,17,221,104,99,134,3
64,25,189,75,47,106,17,217,103,89,132,3
63,24,189,74,46,106,17,223,103,107,137,3
66,25,190,80,50,107,17,223,104,104,129,3
61,24,188,75,46,104,16,217,102,92,129,3
65,25,191,79,48,106,17,219,104,87,135,3
64,25,191,79,48,106,17,219,104,91,129,3
64,25,190,78,48,106,17,216,103,89,137,3
57,24,187,73,43,101,15,213,102,84,128,3
61,24,190,76,44,104,16,217,103,92,129,3
41,20,177,61,33,89,11,206,98,72,101,3
63,24,189,76,42,103,16,220,103,91,129,3
54,23,187,71,41,101,15,217,102,78,121,3
70,26,196,84,50,111,18,227,105,99,138,3
61,24,190,77,45,106,16,221,103,86,132,3
61,24,191,76,44,98,16,225,103,86,128,3
67,25,193,79,46,101,17,223,104,87,132,3
69,26,196,80,48,103,18,227,105,97,135,3
67,25,195,78,48,102,18,233,105,91,131,3
64,25,193,76,46,99,17,227,104,87,134,3
56,23,188,66,41,91,15,221,102,80,120,3
66,24,192,71,44,97,17,224,103,92,128,3
52,22,189,62,40,90,15,220,101,77,121,3
47,21,187,64,39,87,14,217,100,72,117,3
48,21,187,63,39,87,14,220,101,91,118,3
